@relation dataset2

@attribute neighbourhood numeric
@attribute price numeric
@attribute minimum_nights numeric
@attribute availability_365 numeric
@attribute room_type {'Private room','Entire home/apt','Shared room'}

@data
1,32,1,365,'Private room'
1,100,1,0,'Private room'
1,50,2,365,'Private room'
1,20,7,180,'Private room'
1,30,1,365,'Private room'
1,50,1,300,'Private room'
1,18,1,269,'Private room'
1,55,1,125,'Entire home/apt'
1,38,1,89,'Private room'
1,60,1,361,'Private room'
1,45,2,363,'Private room'
1,50,1,88,'Private room'
1,29,1,90,'Private room'
1,30,2,174,'Private room'
1,95,2,82,'Entire home/apt'
1,38,5,58,'Entire home/apt'
1,35,1,365,'Private room'
1,29,7,362,'Private room'
1,20,1,88,'Shared room'
1,200,1,365,'Entire home/apt'
1,45,14,33,'Private room'
1,36,5,108,'Entire home/apt'
1,21,1,365,'Private room'
1,32,1,343,'Private room'
1,35,2,67,'Entire home/apt'
1,62,1,313,'Entire home/apt'
1,29,2,74,'Private room'
1,30,3,90,'Private room'
1,78,1,0,'Private room'
1,45,2,83,'Private room'
1,50,4,0,'Entire home/apt'
1,18,1,82,'Private room'
1,24,7,3,'Private room'
1,20,1,330,'Private room'
1,75,2,365,'Entire home/apt'
1,105,1,351,'Entire home/apt'
1,65,2,42,'Entire home/apt'
1,25,1,259,'Private room'
1,26,3,89,'Private room'
1,30,1,270,'Entire home/apt'
1,65,1,365,'Private room'
1,61,1,365,'Private room'
1,47,1,0,'Private room'
1,25,1,64,'Private room'
1,21,2,90,'Private room'
1,32,4,214,'Private room'
1,25,1,0,'Private room'
1,25,1,365,'Private room'
1,50,1,365,'Private room'
1,22,2,78,'Private room'
1,30,1,177,'Private room'
1,65,3,359,'Entire home/apt'
1,50,1,0,'Entire home/apt'
1,28,2,72,'Private room'
1,52,2,86,'Entire home/apt'
1,45,1,98,'Private room'
1,95,3,294,'Private room'
1,38,2,89,'Private room'
1,55,2,365,'Private room'
1,30,1,365,'Private room'
1,28,7,83,'Private room'
1,32,7,358,'Private room'
1,50,1,365,'Private room'
1,42,2,364,'Private room'
1,31,1,0,'Entire home/apt'
1,29,7,223,'Private room'
1,40,1,101,'Private room'
1,30,1,341,'Private room'
1,48,1,365,'Private room'
1,62,1,365,'Private room'
1,119,3,295,'Entire home/apt'
1,25,1,364,'Private room'
1,39,1,90,'Private room'
1,39,1,365,'Private room'
1,100,3,0,'Entire home/apt'
