price,minimum_nights,availability_365,neighbourhood,room_type
28,2,0,27,1
70,7,64,27,2
195,2,36,27,2
45,1,180,27,2
32,1,353,27,1
18,4,0,27,1
55,3,0,27,2
40,1,244,27,1
45,3,0,27,1
30,1,365,27,1
40,1,352,27,1
30,1,20,27,1
150,3,72,27,2
200,1,365,27,1
22,1,171,27,1
38,1,89,27,1
18,14,365,27,1
80,2,348,27,2
30,1,179,27,1
60,3,73,27,2
42,2,59,27,1
22,1,164,27,1
63,1,87,27,1
28,1,345,27,1
18,3,123,27,1
120,2,320,27,1
40,1,363,27,1
100,7,0,27,2
50,1,364,27,1
45,1,365,27,1
65,3,89,27,2
18,3,89,27,1
80,10,0,27,2
50,2,87,27,1
90,1,89,27,1
40,1,88,27,1
69,1,362,27,1
138,1,364,27,2
25,1,90,27,1
25,1,59,27,1
48,2,167,27,2
50,1,178,27,1
30,3,215,27,1
45,1,358,27,1
25,1,338,27,1
41,1,0,27,2
25,7,364,27,1
32,1,364,27,1
55,1,74,27,1
35,1,282,27,1
50,1,358,27,1
150,6,0,27,2
79,1,355,27,2
40,1,0,27,1
55,3,59,27,2
30,1,276,27,1
23,1,365,27,1
60,2,359,27,1
35,1,363,27,1
35,4,0,27,2
25,1,365,27,1
38,1,130,27,1
47,1,89,27,1
65,3,3,27,2
45,1,365,27,1
24,3,137,27,1
50,1,0,27,1
120,2,361,27,2
28,1,179,27,1
30,1,364,27,1
25,1,153,27,1
50,2,87,27,1
64,3,178,27,2
35,1,153,27,1
75,1,363,27,1
289,3,358,27,2
20,3,337,27,1
24,2,156,27,1
25,1,269,27,1
75,1,365,27,1
128,5,173,27,2
115,20,90,27,2
40,14,73,27,1
45,1,59,27,1
165,3,27,27,2
60,1,365,27,1
30,1,356,27,1
125,3,31,6,2
30,3,330,6,1
50,1,365,6,1
35,2,90,6,1
33,2,338,6,1
40,1,245,6,1
46,1,338,6,1
14,1,0,6,1
34,2,89,6,1
60,1,142,6,1
30,1,365,6,1
39,1,364,6,1
25,1,353,6,1
35,1,267,6,1
27,1,85,6,1
50,2,37,6,1
27,7,94,6,1
48,2,74,6,1
24,1,343,6,1
39,1,160,6,1
41,1,275,6,1
69,1,0,6,2
36,1,330,6,1
25,1,364,6,1
50,1,88,6,1
50,1,0,6,1
65,1,7,6,2
25,1,359,6,1
35,1,356,6,1
36,1,365,6,1
85,3,0,6,2
185,3,266,6,2
120,2,3,6,2
70,2,0,6,1
178,3,175,6,2
70,1,365,6,1
38,1,333,6,1
66,3,63,6,2
49,3,42,6,1
121,2,37,6,2
110,1,73,6,2
150,1,325,6,2
65,1,0,6,1
199,1,365,6,2
50,1,323,6,1
300,1,0,6,2
175,3,71,6,2
86,1,45,6,2
13,1,3,6,3
12,1,3,6,3
13,1,4,6,3
180,4,111,6,2
59,2,177,6,2
75,3,0,6,2
27,14,0,6,1
75,1,364,6,1
60,1,90,6,1
200,1,0,6,2
40,3,342,6,1
38,3,0,6,1
25,1,365,6,1
110,1,92,6,2
96,2,28,6,2
310,5,63,6,2
69,2,338,6,2
65,3,235,6,2
70,1,337,6,2
90,1,3,6,2
36,5,142,6,2
55,1,253,6,1
60,3,5,6,2
110,13,90,6,2
50,1,0,6,1
69,2,352,6,2
